id,author_id,category_id,title,description,community_impact,nature_impact,arts_impact,energy_impact,manufacturing_impact,state,active,created_at,updated_at,champion_id,segment_id,sub_segment_id,userType,image_path,super_segment_id,supporting_proposal_id,banned,reviewed,notification_dismissed,quarantined_at,proposal_benefits,proposal_role,requirements
89,cll12pyle001klg06em4rz6x3,1,Uptown Zero Waste Day,"Setup up a day with the goal of creating zero waste for all business and patrons of the Uptown complex activities for that day.  All waste streams are diverted to recycling and re-use, as well as trying out new behaviors for eliminating sources of need of waste.",,,Education on waste reduction strategies,,Reducing Waste,PROPOSAL,True,2023-08-07 16:26:13.953,2023-08-07 16:26:13.953,,2.0,4.0,Resident,1691425573596-zero-waste.jpg,1,,False,False,False,2023-08-07 16:26:13.951,"Education for the entire community on how to convert to a zero waste process, adoption of new behaviors",Network Potential Consulting is a local business focused on assisting customer's with creating zero impact solutions.,Volunteers for an organization and coordination committee will be needed.
90,cll12i0mm0014lg06nd1pxls6,2,Park Amenity Fund,Looking for the best and highest rate ideas to provide funds and expertise to make happen.,Improve community spaces,,,,,PROPOSAL,True,2023-08-07 16:42:13.066,2023-08-07 16:42:13.066,,1.0,,Resident,,1,,False,False,False,2023-08-07 16:42:13.063,Improved park amenities and community input on what those would be.,"Our organization is offering $10,000 to fund park amenities in the community",Ideas need to be proposed by the community.
91,cll12i0mm0014lg06nd1pxls6,3,Downtown Food Garden Boxes,Build and setup garden boxes in the downtown core for local food production.,Create spaces for gardening,Local food supply,Community learning opportunity on growing food,,,PROPOSAL,True,2023-08-07 16:44:57.683,2023-08-07 16:44:57.683,,1.0,6.0,Resident,,1,,False,False,False,2023-08-07 16:44:57.681,"Ability for residents to work together to grow in local garden boxes, and benefit from a local low cost food supply.",MyLivingCity is a Victoria Based non profit dedicated to creating a more sustainable community.,"In order to complete this project, an organizing committee will be needed, along with several volunteers to participate in a build weekend, as well as carpentry tools and lumber."
92,cll13zcwk0020lg06c4p76dni,3,Campus Improvement Grant,"A $10,000 campus improvement grand has been provided and looking for proposals on what initiatives to fund that would benefit the campus population by create public amenities that would improve social and environmental sustainability.",Improvements to the UVic public environment,,,,,PROPOSAL,True,2023-08-07 16:52:32.547,2023-08-07 16:52:32.547,,2.0,5.0,Resident,,1,,False,False,False,2023-08-07 16:52:32.545,Increase of social and environmental sustainability of the campus environment.,"The UVic Council is a not for profit organization representing the interest of the UVIC population, and liaising with the UVic Administration.",Submit idea posts by clicking the link below.
93,clkzvrj2s000olg06ehcaf0b0,3,On Campus Bike Repair Centre,Setup a bike repair centre on campus offering repair and tune up services,Support human powered transportation,,,,,IDEA,True,2023-08-07 17:53:54.729,2023-08-07 17:53:54.729,,2.0,,Resident,1691430834382-campus bike repair shop.jpeg,1,24.0,False,False,False,2023-08-07 17:53:54.725,,,
94,cll12cnah000wlg06qcz64hu1,2,Community Compost and Recycling Centre,"Create a small corner of the local school property for a community compost station for dropping off food scraps and making compost, as well as picking up compost for use in gardens. The station could be run with volunteers and students to learn about composting from a expert mentor.",A space for community engagement and working together,,Space for learning about compost from other community members,,Turning waste into valuable compost for gardens,IDEA,True,2023-08-07 17:56:36.811,2023-08-07 17:56:36.811,,1.0,,Resident,,1,,False,False,False,2023-08-07 17:56:36.808,,,
95,cll19ee6a00009jo47kq8ou80,2,SubSegment Test 1,Test for subsegment,,,,,,IDEA,True,2023-08-07 19:32:18.339,2023-08-07 19:32:18.339,,,,Resident,,1,,False,False,False,2023-08-07 19:32:18.337,,,
96,cll19ee6a00009jo47kq8ou80,2,SubSegment Test 2,Test 2,,,,,,IDEA,True,2023-08-07 19:33:38.855,2023-08-07 19:33:38.855,,,,Resident,,1,,False,False,False,2023-08-07 19:33:38.853,,,
97,cll19ee6a00009jo47kq8ou80,2,Subsegment Proposal Test 1,Test for subsegment,,,,,,PROPOSAL,True,2023-08-07 19:37:18.010,2023-08-07 19:37:18.010,,,,Resident,,1,,False,False,False,2023-08-07 19:37:18.008,,,
98,cll19ee6a00009jo47kq8ou80,3,Test,Test of Ref09,,,,,,IDEA,True,2023-08-08 16:23:39.294,2023-08-08 16:23:39.294,,,,Resident,,1,25.0,False,False,False,2023-08-08 16:23:39.290,,,
99,cll19ee6a00009jo47kq8ou80,1,Test Idea Ref09,Ref09,,,,,,IDEA,True,2023-08-08 16:24:17.279,2023-08-08 16:24:17.279,,4.0,,Resident,,1,,False,False,False,2023-08-08 16:24:17.277,,,
100,cll19ee6a00009jo47kq8ou80,1,R015,R015 Test,,,,,,IDEA,True,2023-08-08 16:26:04.968,2023-08-08 16:26:04.968,,4.0,,Resident,,1,,False,False,False,2023-08-08 16:26:04.964,,,
101,cll19ee6a00009jo47kq8ou80,1,Test R015,Test R015,,,,,,IDEA,True,2023-08-08 16:28:13.450,2023-08-08 16:28:13.450,,,,Resident,,1,,False,False,False,2023-08-08 16:28:13.447,,,
102,cll19ee6a00009jo47kq8ou80,1,Test R015,Test R015,,,,,,IDEA,True,2023-08-08 16:28:45.134,2023-08-08 16:28:45.134,,,,Resident,,1,,False,False,False,2023-08-08 16:28:45.132,,,
103,cll19ee6a00009jo47kq8ou80,1,R015 UVIC,R015 UVIC selected,,,,,,IDEA,True,2023-08-08 16:29:28.611,2023-08-08 16:29:28.611,,4.0,,Resident,,1,,False,False,False,2023-08-08 16:29:28.609,,,
104,cll2j6gvw0000usnkmwe0bezb,1,Capstone Symposium,The Camosun Capstone Technology Symposium showcases student projects in partnership with industry sponsors.,,,,,,IDEA,True,2023-08-08 16:45:28.733,2023-08-08 16:45:28.733,,2.0,,Resident,,1,,False,False,False,2023-08-08 16:45:28.729,,,
105,cll2j6gvw0000usnkmwe0bezb,2,Test Idea of SubSegments,Tested Idea,,,,,,IDEA,True,2023-08-08 16:53:51.963,2023-08-08 16:53:51.963,,2.0,,Resident,,1,,False,False,False,2023-08-08 16:53:51.960,,,
106,cll2j6gvw0000usnkmwe0bezb,1,Test Idea for Sub Segement 2,testing,,,,,,IDEA,True,2023-08-08 17:01:44.457,2023-08-08 17:01:44.457,,2.0,,Resident,,1,,False,False,False,2023-08-08 17:01:44.453,,,
107,cll2j6gvw0000usnkmwe0bezb,1,Test Idea for Segment 3,TEST,,,,,,IDEA,True,2023-08-08 17:18:08.269,2023-08-08 17:18:08.269,,2.0,,Resident,,1,,False,False,False,2023-08-08 17:18:08.266,,,
108,cll2j6gvw0000usnkmwe0bezb,1,Test Idea SubSegment,Test,,,,,,IDEA,True,2023-08-08 17:21:15.476,2023-08-08 17:21:15.476,,2.0,,Resident,,1,,False,False,False,2023-08-08 17:21:15.474,,,
109,cll2j6gvw0000usnkmwe0bezb,1,Test SubSegment 4,test,,,,,,IDEA,True,2023-08-08 17:22:31.149,2023-08-08 17:22:31.149,,2.0,,Resident,,1,,False,False,False,2023-08-08 17:22:31.147,,,
110,cll2j6gvw0000usnkmwe0bezb,1,Test SubSeg,test,,,,,,IDEA,True,2023-08-08 17:40:58.034,2023-08-08 17:40:58.034,,2.0,8.0,Resident,,1,,False,False,False,2023-08-08 17:40:58.032,,,
111,cll12cnah000wlg06qcz64hu1,1,test of downtown vic,test of downtown vic,,,,,,IDEA,True,2023-08-09 16:34:44.374,2023-08-09 16:34:44.374,,1.0,,Resident,,1,,False,False,False,2023-08-09 16:34:44.372,,,
112,cll12cnah000wlg06qcz64hu1,2,fairfield test,fairfield test,,,,,,IDEA,True,2023-08-09 16:38:42.137,2023-08-09 16:38:42.137,,1.0,,Resident,,1,,False,False,False,2023-08-09 16:38:42.130,,,
113,cll12cnah000wlg06qcz64hu1,1,uvic test,uvic test,,,,,,IDEA,True,2023-08-09 16:39:02.516,2023-08-09 16:39:02.516,,1.0,,Resident,,1,,False,False,False,2023-08-09 16:39:02.514,,,
114,cll2j6gvw0000usnkmwe0bezb,1,Test SubSegment,test,,,,,,IDEA,True,2023-08-09 16:40:24.872,2023-08-09 16:40:24.872,,1.0,6.0,Resident,,1,,False,False,False,2023-08-09 16:40:24.866,,,
115,cll2j6gvw0000usnkmwe0bezb,1,Test SubSegment,test,,,,,,IDEA,True,2023-08-09 17:42:09.257,2023-08-09 17:42:09.257,,2.0,8.0,Resident,,1,,False,False,False,2023-08-09 17:42:09.253,,,
116,cll2j6gvw0000usnkmwe0bezb,1,Test Victoria Worker,test,,,,,,IDEA,True,2023-08-09 18:22:50.843,2023-08-09 18:22:50.843,,1.0,6.0,Resident,,1,,False,False,False,2023-08-09 18:22:50.840,,,
117,cll1f5uda002alg06tucrs8w9,1,Camosun Test,Test of Camosun Subsegment,,,,,,IDEA,True,2023-08-09 18:28:39.276,2023-08-09 18:28:39.276,,4.0,,Resident,,1,,False,False,False,2023-08-09 18:28:39.273,,,
118,cll1f5uda002alg06tucrs8w9,4,Test subsegment idea,Testing subsegment Camosun Interurban,,,,,,IDEA,True,2023-08-09 21:14:01.539,2023-08-09 21:14:01.539,,2.0,8.0,Resident,,1,,False,False,False,2023-08-09 21:14:01.535,,,
119,cll12cnah000wlg06qcz64hu1,1,idea post test,idea post test,,,,,,IDEA,True,2023-08-09 22:49:32.270,2023-08-09 22:49:32.270,,2.0,5.0,Resident,,1,,False,False,False,2023-08-09 22:49:32.267,,,
120,cll12cnah000wlg06qcz64hu1,1,"test idea submission, Saanich as Student","test idea submission, Saanich as Student",,,,,,IDEA,True,2023-08-09 22:50:41.819,2023-08-09 22:50:41.819,,1.0,,Resident,,1,,False,False,False,2023-08-09 22:50:41.816,,,
121,cll12cnah000wlg06qcz64hu1,3,Complimentary Umbrella Stations,Having complimentary umbrella stations at building entrances that can be used by students and staff for rainy days to move from building the building.,Improved experience in human powered transportation,,,,,IDEA,True,2023-08-14 03:24:31.023,2023-08-14 03:24:31.023,,,,Resident,,1,24.0,False,False,False,2023-08-14 03:24:31.018,,,
122,clkzvrj2s000olg06ehcaf0b0,3,Community Gardens on Campus,Having a community garden space setup so that students and staff can grow food and garden on campus.,"Have a space for community to gather and garden, grow food and harvest communally.",Increasing availability of food supply for local people,,,,IDEA,True,2023-08-27 01:54:06.480,2023-08-27 01:54:06.480,,,,Resident,1693101245977-community garden.jpg,1,24.0,False,False,False,2023-08-27 01:54:06.478,,,
123,clkzvrj2s000olg06ehcaf0b0,3,idea test 001,idea test,,,,,,IDEA,True,2023-08-27 01:59:18.523,2023-08-27 01:59:18.523,,2.0,5.0,Resident,,1,,False,False,False,2023-08-27 01:59:18.521,,,
124,clkzvrj2s000olg06ehcaf0b0,1,test idea,test idea,,,,,,IDEA,True,2023-08-27 02:05:20.646,2023-08-27 02:05:20.646,,2.0,,Resident,,1,,False,False,False,2023-08-27 02:05:20.644,,,
125,cll12i0mm0014lg06nd1pxls6,1,test idea,test idea,,,,,,IDEA,True,2023-08-27 02:09:32.803,2023-08-27 02:09:32.803,,1.0,6.0,Resident,,1,,False,False,False,2023-08-27 02:09:32.801,,,
126,cll12i0mm0014lg06nd1pxls6,1,Test proposal 001,proposal,,,,,,PROPOSAL,True,2024-01-16 15:35:27.047,2024-01-16 15:35:27.047,,1.0,,Resident,,1,,False,False,False,2024-01-16 15:35:27.042,community benefits,propose info,requirements
127,clriojify003slg06d0jf1jnm,1,huguyb,hjvkhg,,,,,,IDEA,True,2024-01-18 05:59:49.721,2024-01-18 05:59:49.721,,,,Resident,,1,,False,False,False,2024-01-18 05:59:49.719,,,
128,cls55cok0005clg06ntq88rhe,2,Test Idea,This is an idea to test stuff,test,test,test,test,test,IDEA,True,2024-02-02 21:22:40.170,2024-02-02 21:22:40.170,,1.0,,Resident,,1,,False,False,False,2024-02-02 21:22:40.168,,,
129,clu0lg3qd0000qs06ide6d3ze,3,Plant Trees on Uptown Boulevard,"Plant trees along the median line of Uptown Boulevard to provide more shade in the summer, as well as more access to nature.  By planting on the median line of the boulevard, it can still be used for car traffic if needed.","Improve community spaces, and reduce urban island heating effect in summer",Increase access to natural spaces along public road and increase biodiversity,,,,IDEA,True,2024-03-21 02:22:51.567,2024-03-21 02:22:51.567,,2.0,4.0,Resident,1710987771284-boulevard median tree.jpg,1,,False,False,False,2024-03-21 02:22:51.563,,,
130,clu0lg3qd0000qs06ide6d3ze,1,Trash Pickup Day,We should have a monthly community beach cleanup day to clean up all our coastal park areas.,Creating a social event around making our community better,,,,Removing waste from our environment,IDEA,True,2024-03-21 02:51:39.793,2024-03-21 02:51:39.793,,3.0,,Resident,1710989499316-FTMA_MLK_CleanUP_DOC_1-15-20186_2x1.jpg,1,,False,False,False,2024-03-21 02:51:39.790,,,
131,clu0t10cz000uqs06a52rwzny,1,Yoga on the boulevard event at Uptown,"An afternoon of open air yoga on the Uptown Boulevard, have 3 or 4 separate directed session of yoga for the community.",An inclusive and community Centred event,,Create an opportunity for learning and furthering the practice of yoga in the community,,,IDEA,True,2024-03-22 04:38:51.342,2024-03-22 04:38:51.342,,2.0,4.0,Resident,,1,,False,False,False,2024-03-22 04:38:51.336,,,
132,cluinp0vf0038qs06nczvky4t,3,Complimentary Umbrella Stations,Having complimentary umbrella stations at building entrances that can be used by students and staffs for rainy days to move from buildings to buildings.,Improved experience in human powered transportation,,,,,IDEA,True,2024-04-07 18:48:17.244,2024-04-07 18:48:17.244,,,,Resident,,1,,False,False,False,2024-04-07 18:48:17.234,,,
133,cluipi0sr0042qs062i72ur79,1,Uptown Zero Waste Day,"Set up a day with the goal of creating zero waste for all businesses and patrons of the Uptown complex activities for that day. All waste streams are diverted to recycling and re-use, as well as trying out new behaviours for eliminating sources of need for waste.",,,,,Reducing waste,PROPOSAL,True,2024-04-07 21:35:10.011,2024-04-07 21:35:10.011,,,,Resident,,1,,False,False,False,2024-04-07 21:35:10.002,"Education for the entire community on how to convert to a zero waste process, adoption of new behaviours
",Business Test is a local business focused on assisting customers with creating zero-impact solutions.,"Volunteers for an organization and coordination committee will be needed.
"
134,cluiowe6g003iqs06wobphzpx,3,Downtown Food Garden Boxes,"Build and set up garden boxes in the downtown core for local food production.
",Create spaces for gardening,Local food supply,Community learning opportunity on growing food,,,PROPOSAL,True,2024-04-07 21:39:03.204,2024-04-07 21:39:03.204,,,,Resident,,1,,False,False,False,2024-04-07 21:39:03.201,"The ability for residents to work together to grow in local garden boxes, and benefit from a local low-cost food supply.","MyLivingCity is a Victoria-based non-profit dedicated to creating a more sustainable community.
","In order to complete this project, an organizing committee will be needed, along with several volunteers to participate in a build weekend, as well as carpentry tools and lumber."
135,cluip32e1003sqs06f31pj113,3,Campus Improvement Grant,"A $10,000 campus improvement grand has been provided and looking for proposals on what initiatives to fund that would benefit the campus population by create public amenities that would improve social and environmental sustainability.",Improvements to the UVic public environment,,,,,PROPOSAL,True,2024-04-07 21:42:24.969,2024-04-07 21:42:24.969,,,,Resident,,1,,False,False,False,2024-04-07 21:42:24.967,"Increase of social and environmental sustainability of the campus environment.
","The UVic Council is a not for profit organization representing the interest of the UVIC population, and liaising with the UVic Administration.","Submit idea posts by clicking the link below.
"
136,cluyxuu89002apb06xnbi8e5e,4,Campus Bike Share Service,A bike share service should be setup on campus to allow students to cheaply rent bicycles for transportation on and off campus.,Enabling people powered transportation,,,,,IDEA,True,2024-04-14 03:10:07.629,2024-04-14 03:10:07.629,,,,Resident,1713064207336-bikeshare service.jpeg,1,24.0,False,False,False,2024-04-14 03:10:07.622,,,
